open_time,open,high,low,close,volume,end_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1705190460000,42838.01,42838.01,42813.36,42815.21,14.65428,1705190519999,627473.671431,746,8.41097,360125.428699,0
1705190520000,42815.22,42822.23,42788,42810.26,29.20472,1705190579999,1250124.0801552,1279,14.43746,618042.3649143,0
1705190580000,42810.26,42830,42810.25,42829.99,9.64714,1705190639999,413074.7220036,581,7.36961,315548.4116425,0
1705190640000,42829.99,42830,42813.99,42813.99,8.06581,1705190699999,345440.2826528,400,4.16285,178282.8502688,0
1705190700000,42813.99,42824.88,42799.34,42824.88,7.58961,1705190759999,324906.6667202,555,2.709,115966.1613505,0
1705190760000,42824.88,42831.1,42812,42831.1,14.18475,1705190819999,607443.3872267,657,9.35037,400424.8337267,0
1705190820000,42831.1,42870,42831.09,42869.99,9.2911,1705190879999,398093.9934932,663,8.22574,352444.9483306,0
1705190880000,42870,42880,42832.57,42833.89,13.00782,1705190939999,557560.8795067,720,3.80133,162941.6501664,0
1705190940000,42833.89,42850,42833.89,42836.95,15.46631,1705190999999,662614.447619,528,6.94475,297509.622947,0
1705191000000,42836.96,42841.4,42812.91,42812.91,16.20159,1705191059999,693957.7090536,725,6.34961,271960.9478408,0
1705191060000,42812.92,42844,42811.1,42843.99,22.71981,1705191119999,972898.145762,962,11.89575,509395.346024,0
1705191120000,42844,42890.23,42843.99,42886.8,22.77269,1705191179999,976227.897367,866,19.45813,834148.4546882,0
1705191180000,42886.81,42886.81,42852.22,42859.99,13.54004,1705191239999,580434.7148097,560,7.22317,309607.3559267,0
1705191240000,42859.98,42866.44,42824.87,42824.88,38.44135,1705191299999,1647387.8358683,910,11.03386,472830.8651015,0
1705191300000,42824.87,42848,42812,42831.1,13.29335,1705191359999,569338.9810089,998,9.59511,410934.0710023,0
1705191360000,42831.1,42838,42816,42819.99,7.87363,1705191419999,337163.8738191,769,3.4421,147390.657545,0
1705191420000,42820,42840.14,42819.99,42831.76,10.8179,1705191479999,463307.1218375,584,7.92232,339281.3784777,0
1705191480000,42831.77,42831.77,42806.23,42813.65,14.79141,1705191539999,633261.3998743,658,4.31005,184514.5024261,0
1705191540000,42813.64,42818,42805.91,42805.91,16.7817,1705191599999,718499.2839191,474,5.5537,237771.9858887,0
1705191600000,42805.91,42816,42797.65,42814.7,8.54491,1705191659999,365786.6896402,704,4.82206,206421.2533867,0
1705191660000,42814.71,42824,42814,42814.02,6.23115,1705191719999,266785.4770679,474,3.45497,147922.6402639,0
1705191720000,42814.01,42817.99,42800.12,42800.13,13.98512,1705191779999,598708.7278352,468,2.11349,90482.4118339,0
1705191780000,42800.13,42816,42800.12,42816,8.9453,1705191839999,382889.747012,428,7.36446,315218.4446095,0
1705191840000,42815.99,42816,42766.87,42770.6,13.88377,1705191899999,594051.2881914,993,3.78648,162001.3360888,0
1705191900000,42770.59,42770.6,42732,42740,22.44898,1705191959999,959578.7371092,1665,8.27416,353627.3605245,0
