open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1697583600000.00,28416.91,28416.92,28416.91,28416.92,0.03985,1697583600999.00,1132.414022,18,0.01585,450.408182,0
1697583601000.00,28416.92,28416.92,28416.92,28416.92,0.41395,1697583601999.00,11763.18403,12,0.41395,11763.18403,0
1697583602000.00,28416.91,28416.91,28416.91,28416.91,0.02262,1697583602999.00,642.7905042,3,0,0,0
1697583603000.00,28416.92,28418.53,28416.92,28418.53,0.16407,1697583603999.00,4662.420651,34,0.16407,4662.420651,0
1697583604000.00,28418.74,28420.72,28418.74,28420.72,0.58239,1697583604999.00,16551.37619,58,0.57476,16334.53449,0
1697583605000.00,28420.72,28424.31,28420.72,28424.31,0.48881,1697583605999.00,13892.8241,54,0.46686,13268.93292,0
1697583606000.00,28424.31,28424.95,28424.31,28424.95,0.10502,1697583606999.00,2985.17921,14,0.01284,364.9709092,0
1697583607000.00,28424.95,28424.96,28424.95,28424.96,0.00099,1697583607999.00,28.1407078,2,0.00073,20.7502208,0
1697583608000.00,28424.96,28424.96,28424.96,28424.96,0.00099,1697583608999.00,28.1407104,1,0.00099,28.1407104,0
1697583609000.00,28424.96,28424.96,28424.95,28424.96,0.59664,1697583609999.00,16959.46813,12,0.59601,16941.56041,0
1697583610000.00,28424.95,28424.96,28424.95,28424.96,0.03681,1697583610999.00,1046.322735,4,0.03257,925.8009472,0
1697583611000.00,28424.96,28424.96,28424.96,28424.96,0,1697583611999.00,0,0,0,0,0
1697583612000.00,28424.96,28424.96,28424.95,28424.95,0.00832,1697583612999.00,236.4956531,2,0.00691,196.4164736,0
1697583613000.00,28424.95,28424.95,28424.95,28424.95,0.01009,1697583613999.00,286.8077455,1,0,0,0
1697583614000.00,28424.95,28424.95,28424.95,28424.95,0.00105,1697583614999.00,29.8461975,1,0,0,0
1697583615000.00,28424.96,28424.96,28424.96,28424.96,0.00057,1697583615999.00,16.2022272,1,0.00057,16.2022272,0
1697583616000.00,28424.95,28424.96,28424.95,28424.96,0.01164,1697583616999.00,330.8664263,2,0.00083,23.5927168,0
1697583617000.00,28424.95,28424.96,28424.95,28424.96,0.01186,1697583617999.00,337.1199881,6,0.00811,230.5264256,0
1697583618000.00,28424.95,28424.96,28424.95,28424.96,0.00116,1697583618999.00,32.9729507,2,0.00087,24.7297152,0
1697583619000.00,28424.95,28424.95,28424.95,28424.95,0.02883,1697583619999.00,819.4913085,1,0,0,0
1697583620000.00,28424.96,28424.96,28424.95,28424.95,0.05314,1697583620999.00,1510.502365,4,0.05215,1482.361664,0
1697583621000.00,28424.95,28424.95,28424.95,28424.95,0.00437,1697583621999.00,124.2170315,1,0,0,0
1697583622000.00,28424.96,28424.96,28424.96,28424.96,0.02792,1697583622999.00,793.6248832,3,0.02792,793.6248832,0
1697583623000.00,28424.95,28424.96,28424.95,28424.96,0.00356,1697583623999.00,101.1928262,2,0.00042,11.9384832,0
1697583624000.00,28424.96,28424.96,28424.96,28424.96,0,1697583624999.00,0,0,0,0,0
1697583625000.00,28424.95,28424.95,28424.95,28424.95,0.07053,1697583625999.00,2004.811724,2,0,0,0
1697583626000.00,28424.96,28424.96,28424.95,28424.96,0.85391,1697583626999.00,24272.34959,5,0.05318,1511.639373,0
1697583627000.00,28424.95,28424.95,28424.95,28424.95,0.01782,1697583627999.00,506.532609,1,0,0,0
1697583628000.00,28424.96,28424.96,28424.96,28424.96,0.0014,1697583628999.00,39.794944,1,0.0014,39.794944,0
1697583629000.00,28424.96,28424.96,28422.73,28422.74,4.61753,1697583629999.00,131251.471,39,0.01622,461.0333374,0
1697583630000.00,28422.73,28422.73,28420.98,28420.98,0.17349,1697583630999.00,4930.854563,19,0.00039,11.0841861,0
1697583631000.00,28420.99,28420.99,28420.98,28420.98,0.00356,1697583631999.00,101.178707,2,0.00182,51.7262018,0
1697583632000.00,28420.98,28420.98,28420.98,28420.98,0.007,1697583632999.00,198.94686,1,0,0,0
1697583633000.00,28420.98,28420.98,28420.98,28420.98,0.34174,1697583633999.00,9712.585705,2,0,0,0
1697583634000.00,28420.99,28420.99,28420.98,28420.98,0.12326,1697583634999.00,3503.170041,2,0.00463,131.5891837,0
1697583635000.00,28420.98,28420.98,28420.98,28420.98,0.37128,1697583635999.00,10552.14145,3,0,0,0
1697583636000.00,28420.99,28420.99,28420.99,28420.99,0.00029,1697583636999.00,8.2420871,1,0.00029,8.2420871,0
1697583637000.00,28420.99,28420.99,28420.99,28420.99,0.00058,1697583637999.00,16.4841742,1,0.00058,16.4841742,0
1697583638000.00,28420.98,28420.98,28420.98,28420.98,0.04225,1697583638999.00,1200.786405,3,0,0,0
1697583639000.00,28420.99,28420.99,28420.98,28420.99,0.02702,1697583639999.00,767.9349391,3,0.00595,169.1048905,0
1697583640000.00,28420.98,28420.98,28420.98,28420.98,0.0004,1697583640999.00,11.368392,1,0,0,0
1697583641000.00,28420.98,28420.98,28420.98,28420.98,0.00948,1697583641999.00,269.4308904,1,0,0,0
1697583642000.00,28420.99,28420.99,28420.99,28420.99,0.0056,1697583642999.00,159.157544,1,0.0056,159.157544,0
1697583643000.00,28420.98,28420.98,28420.98,28420.98,0.04722,1697583643999.00,1342.038676,3,0,0,0
1697583644000.00,28420.99,28420.99,28420.98,28420.98,0.10602,1697583644999.00,3013.193179,3,0.08794,2499.341861,0
1697583645000.00,28420.98,28420.98,28420.98,28420.98,0,1697583645999.00,0,0,0,0,0
1697583646000.00,28420.99,28420.99,28420.98,28420.98,0.02534,1697583646999.00,720.1878764,3,0.02432,691.1984768,0
1697583647000.00,28420.98,28420.98,28420.98,28420.98,0,1697583647999.00,0,0,0,0,0
1697583648000.00,28420.98,28420.98,28420.98,28420.98,0.01619,1697583648999.00,460.1356662,1,0,0,0
1697583649000.00,28420.98,28420.99,28420.98,28420.99,0.15937,1697583649999.00,4529.451936,3,0.03532,1003.829367,0
1697583650000.00,28420.98,28420.98,28420.98,28420.98,0.00066,1697583650999.00,18.7578468,1,0,0,0
1697583651000.00,28420.98,28420.98,28420.98,28420.98,0,1697583651999.00,0,0,0,0,0
1697583652000.00,28420.98,28420.99,28420.98,28420.98,0.02767,1697583652999.00,786.4087513,5,0.02347,667.0406353,0
1697583653000.00,28420.99,28420.99,28420.99,28420.99,0.00051,1697583653999.00,14.4947049,1,0.00051,14.4947049,0
1697583654000.00,28420.99,28420.99,28420.99,28420.99,0.00201,1697583654999.00,57.1261899,1,0.00201,57.1261899,0
1697583655000.00,28420.98,28420.98,28416.91,28416.91,1.94073,1697583655999.00,55156.7537,73,0.00302,85.8233264,0
1697583656000.00,28416.91,28416.92,28416.91,28416.92,0.00214,1697583656999.00,60.8121911,2,0.00037,10.5142604,0
1697583657000.00,28416.91,28416.92,28416.91,28416.91,0.00513,1697583657999.00,145.778756,4,0.00077,21.8810284,0
1697583658000.00,28416.91,28416.92,28416.91,28416.92,0.00432,1697583658999.00,122.7610921,3,0.00409,116.2252028,0
1697583659000.00,28416.92,28416.92,28416.91,28416.92,0.0419,1697583659999.00,1190.668774,23,0.02454,697.3512168,0
1697583660000.00,28416.92,28416.92,28416.91,28416.91,0.06002,1697583660999.00,1705.583108,21,0.01699,482.8034708,0
1697583661000.00,28416.91,28416.92,28416.91,28416.91,0.0462,1697583661999.00,1312.861561,7,0.03191,906.7839172,0
1697583662000.00,28416.91,28416.91,28415.01,28415.01,2.86514,1697583662999.00,81418.3928,40,0.00258,73.311234,0
1697583663000.00,28415.01,28415.01,28415.01,28415.01,0.17541,1697583663999.00,4984.276904,1,0.17541,4984.276904,0
1697583664000.00,28415.01,28415.01,28415.01,28415.01,0.00147,1697583664999.00,41.7700647,1,0.00147,41.7700647,0
1697583665000.00,28415.01,28415.01,28415.01,28415.01,0,1697583665999.00,0,0,0,0,0
1697583666000.00,28415,28415.01,28415,28415.01,0.03354,1697583666999.00,953.0391177,3,0.00177,50.2945677,0
1697583667000.00,28415.01,28415.01,28415.01,28415.01,0,1697583667999.00,0,0,0,0,0
1697583668000.00,28415.01,28415.01,28415.01,28415.01,0.4758,1697583668999.00,13519.86176,3,0.4758,13519.86176,0
1697583669000.00,28415.01,28415.01,28415.01,28415.01,0,1697583669999.00,0,0,0,0,0
1697583670000.00,28415.01,28415.01,28415.01,28415.01,0.00052,1697583670999.00,14.7758052,1,0.00052,14.7758052,0
1697583671000.00,28415,28415,28415,28415,0.03736,1697583671999.00,1061.5844,2,0,0,0
1697583672000.00,28415.01,28415.01,28415.01,28415.01,0.02295,1697583672999.00,652.1244795,1,0.02295,652.1244795,0
